sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
44100,1943,-0.0367585741099,-0.0346924516107,-0.0301347983419,-6.18213227825,-6.182748433,0.00206612249918,-0.000616154742374
44100,2119,-0.0436865313273,-0.0413199742245,-0.0358194627296,-6.74086569509,-6.74166348574,0.00236655710284,-0.000797790645868
44100,2310,-0.051870801347,-0.0493255441531,-0.0425370414361,-7.34622108103,-7.34725302545,0.00254525719389,-0.00103194442758
44100,2518,-0.0615676206379,-0.0589062262853,-0.0504989946449,-8.00422532164,-8.00555913094,0.00266139435255,-0.00133380930205
44100,2745,-0.0730771909912,-0.070185293894,-0.0599534386955,-8.72079339042,-8.72251759615,0.00289189709723,-0.00172420573647
44100,2992,-0.0866915885815,-0.0832978668848,-0.071142558851,-9.49855525386,-9.50078200177,0.00339372169672,-0.00222674791393
44100,3262,-0.102862542661,-0.0987950440201,-0.084440796164,-10.3462738363,-10.3491505675,0.00406749864062,-0.00287673125694
44100,3557,-0.122053285079,-0.11752168257,-0.100233593413,-11.2693337197,-11.27305021,0.00453160250822,-0.0037164903073
44100,3877,-0.144645290728,-0.140022958538,-0.118840992684,-12.2666303439,-12.2714225532,0.00462233219049,-0.00479220931863
44100,4227,-0.17143855728,-0.166621961677,-0.140930419668,-13.352324472,-13.3585043333,0.00481659560329,-0.00617986130519
44100,4608,-0.203035334862,-0.197641549595,-0.1670102573,-14.52768429,-14.535643515,0.00539378526653,-0.0079592250227
44100,5024,-0.240367194814,-0.234848325455,-0.197865731236,-15.8027297602,-15.8129742953,0.00551886935928,-0.0102445351181
44100,5477,-0.28429899217,-0.279270529589,-0.234234005919,-17.1806542023,-17.1938203461,0.00502846258088,-0.013166143805
44100,5971,-0.335989944771,-0.330995608835,-0.277105099805,-18.6699393816,-18.6868382201,0.00499433593541,-0.016898838529
44100,6509,-0.396619136731,-0.392363247531,-0.327498002322,-20.2750112199,-20.2966605517,0.00425588919961,-0.0216493317816
44100,7096,-0.467714684123,-0.464683829624,-0.386738202953,-22.0050068377,-22.0326964814,0.00303085449902,-0.0276896437009
44100,7736,-0.550825673104,-0.548812247859,-0.456190540013,-23.8645140786,-23.8998547258,0.00201342524549,-0.0353406472247
44100,8434,-0.647746316198,-0.647689902874,-0.537452112798,-25.8592071144,-25.9042076584,5.64133242309e-05,-0.0450005439983
44100,9195,-0.76037946172,-0.761723561352,-0.632245929692,-27.9925709354,-28.0497151643,-0.00134409963242,-0.0571442289376
44100,10024,-0.890695777827,-0.893704997108,-0.742394116898,-30.2656498332,-30.3379793878,-0.00300921928145,-0.0723295546144
44100,10928,-1.04102104663,-1.04559860757,-0.870070106219,-32.6821208651,-32.7733664643,-0.00457756093824,-0.0912455992439
44100,11913,-1.213518241,-1.21881107106,-1.01736971776,-35.2397051124,-35.3543725869,-0.00529283006304,-0.114667474522
44100,12988,-1.41081052772,-1.41719824762,-1.18685063068,-37.9403272618,-38.0838851819,-0.00638771989474,-0.143557920069
44100,14159,-1.63483190756,-1.64356872772,-1.38055356146,-40.7745245459,-40.953449929,-0.00873682016331,-0.178925383099
44100,15436,-1.88801984712,-1.90136263838,-1.60102773649,-43.7389285881,-43.9609511838,-0.0133427912629,-0.222022595647
44100,16828,-2.1722998678,-2.19347817917,-1.85045281147,-46.8237667065,-47.097992824,-0.0211783113739,-0.274226117534
44100,18346,-2.48957747681,-2.5219243309,-2.13105534957,-50.0200492393,-50.3572083048,-0.0323468540884,-0.33715906544
44100,20000,-2.84103815058,-2.88622451479,-2.44447367674,-53.3133703014,-53.725982685,-0.0451863642066,-0.41261238364
48000,20,-0.0011777671796,-0.00117327976271,-3.20324004205e-06,0.878068941846,0.877952650091,4.48741688519e-06,-0.000116291754559
48000,22,-0.000974883851325,-0.000976531401106,-3.87592017008e-06,0.786062233662,0.786147654843,-1.64754978037e-06,8.54211807916e-05
48000,24,-0.000820842847953,-0.000817091917715,-4.61266496138e-06,0.708322340767,0.708258146668,3.75093023809e-06,-6.41940987031e-05
48000,26,-0.000701236551657,-0.000701513915638,-5.41347438598e-06,0.641557722748,0.641606817123,-2.77363981287e-07,4.90943748522e-05
48000,28,-0.000606610336186,-0.000603052742534,-6.27834840662e-06,0.583417023573,0.583378871944,3.55759365186e-06,-3.81516292766e-05
48000,31,-0.000498031027535,-0.000491620447323,-7.69578048483e-06,0.508725196057,0.508733557148,6.41058021146e-06,8.3610910146e-06
48000,34,-0.000417515397333,-0.000415674677906,-9.25735769746e-06,0.445522105087,0.445541165368,1.84071942518e-06,1.9060281201e-05
48000,37,-0.000356397948508,-0.000355130562694,-1.09630799034e-05,0.391013532897,0.391008258839,1.2673858129e-06,-5.27405885775e-06
48000,40,-0.000309134981968,-0.000304566645202,-1.28129469357e-05,0.343243414297,0.343233250804,4.56833676615e-06,-1.01634925815e-05
48000,44,-0.000261484037288,-0.000256256461772,-1.55036613091e-05,0.287649885375,0.287643105337,5.22757551476e-06,-6.78003844552e-06
48000,47,-0.000234176846031,-0.000227996741707,-1.76898655923e-05,0.250737260034,0.250739707244,6.18010432228e-06,2.44721022772e-06
48000,52,-0.000200100737932,-0.000193213761644,-2.16538597504e-05,0.196223706961,0.196220720653,6.88697628851e-06,-2.98630790434e-06
