case,velocity,centroid_20_16000_hz,sub_to_above_sub_db,above_200_to_below_200_db,rms_dbfs,midi_sha256,raw_render_sha256
cotton-wool,86,46.50258051366533,8.001020550727844,-12.923479080200195,-29.41354399012964,416d97866d2cc519db948e822298ca4222c1820760497132408c6479516ddc2c,603b2b9a600e73cc7dff0be950ca03229573cf1b306f1c9f0904dc573715f4fd
cotton-wool,87,46.82531070394375,7.959100008010864,-12.842878103256226,-29.409327477708604,e657f81e3e4774eaa19b2ef1b14034194d0937fabdc116b887117c3bbbb6dfb5,f893105df51ccc447ed2de1b5df7a9fd14808f18218c11b46d5cc291f9b86e97
cotton-wool,88,47.149750066645105,7.917699813842773,-12.763429880142212,-29.405134080461252,f9f23f0745db3d8456b474ef7ffe4a183472b804cddbd860adfa1fe3de2ff334,779f0d4cebf3f84c585868552d39d9f5dfad929ab32bb14aceab7bff6536b72e
cotton-wool,89,47.4758416908325,7.876816391944885,-12.685132026672363,-29.400964366961816,46b1f76557a39c56b4ca6aee202d69ebf48090677b6d174dfbc586d5b48b4dfc,cbb7e82ab52cf23ab8602b7207d7fb78fe44f17932b48961563eb7b3ad6c84cb
cotton-wool,90,47.8035175519089,7.8364503383636475,-12.607978582382202,-29.39681885592728,5f2b1db7cb5ece82a0eccd43fbd8f266f0cca9669a26bd1ee689f417b19f2b62,d3efa8ab54df99f35ddf474f0d8ba811c840b46119c34a05215b5f8b7d0c1df5
cotton-wool,91,48.13277279534005,7.7965956926345825,-12.531962394714355,-29.392698029792015,609aed356b41960e75e7c7097e0e7d35262303117454938c0b21f3b3ab78fb92,e58339162d6eab3d5405251adcacadce549772fb51cc5c588b3f812c1522d928
cotton-wool,92,48.46356703907857,7.757251262664795,-12.457078695297241,-29.388602292705876,d06a4419b8ea89b3c8e11810db911878da57ff859d66ae8b45046ee5a1220a84,6d148f8308c9c27cc3f3920f87622754df596ad5ee0d9101d5b6bf381f3805d1
cotton-wool,93,48.79586937821398,7.718411684036255,-12.383311986923218,-29.38453202755913,d121e17e44645c780a9dbe6e78c5cf47bcede42cdfbd184a0607b647e914c7d3,3e73030fc06e4b12ec95860d52e242b4b9c7aec25937652a3b109005b46e8a95
cotton-wool,94,49.12965888619304,7.680072784423828,-12.310653924942017,-29.380487545721763,58205ed59850d3aecfd956bced7a455eabc5c627418cd7d42327b1b7693056a2,55e60f30f0a9dd9b754f1e5a97d114510f14acaaf13dccc6463b83f5c50c7369
cotton-wool,95,49.46493038189836,7.642231583595276,-12.239089012145996,-29.376469090486985,61a77936542f61cf717b96bdb9d614def518368e72c274de72530335a1b60ae0,d5bbb098450237db6901be8552930e2a6260f26ce19a689396c7dfd955a48538
cotton-wool,96,49.801653594357695,7.604880332946777,-12.168605327606201,-29.372476867591118,b36cea98728fc3aba31329b8fc273dddd5e0d1b945e6540f6d8d9268601f030b,2e614b12f184c82d7604b988ab90fdf5003cb9fb8645714687be08637c10754e
cotton-wool,97,50.139865963868075,7.568013668060303,-12.099183797836304,-29.368511020139756,79134a9408efe7c54311f7cc9fe0b1d1bfd2a93ede05f2944fef1cbe2f08397f,2ca089888562a4d2eabc98f2a46b61edaeb1c1e2853653628b4f088d947c507c
cotton-wool,98,50.479536972941276,7.53162682056427,-12.030808925628662,-29.36457163002477,f92557cbb170555f6b4ea1ee43f685041ef5137ec26daaa2e3348870e4dd3602,71226e16c011757c0bc5cf6a95780c67d172c8adf1f634d179db4f710088d801
cotton-wool,99,50.8206954431998,7.495710253715515,-11.963459253311157,-29.36065875018408,fa11903cf2e59ee28168582fc2d8c85f5b375bed5a228295a93371bc5807fe48,2a51b1ad6b3f3013232f076cf7fde614723d74fc46c6b2ecdefa9963c0c02ea9
cotton-wool,100,51.16335143866813,7.460259199142456,-11.897119283676147,-29.356772359422614,bc1d33acfc257d7fa3251eb2e81eea6d5fdca99d663511e657102eabf0ab6a32,7ed9a1de93a91aefbb1e428cab78aab7115286743a5f15d480173032240d7b43
cotton-wool,101,51.50750948339012,7.425265312194824,-11.83176875114441,-29.352912403678154,dd9c7c50f946f5c38840c70e1cc7ac85502bcfb0092e379cc5fda743940e6d10,fb3b2546490608d69c4acd6a56f478a87ae9dbf9a3d5dc8d891cdb9b14662e70
cotton-wool,102,51.853217557847515,7.390722036361694,-11.767386198043823,-29.34907880671561,8d52a14c8d985398a0d0a2d0b3aabca5fed54386f0b35b94df2d513fe640e756,fbc96a7159c441683292f36447acc1c5138f3795c1f969ec609b8b1b2e3dace1
cotton-wool,103,52.20045828922021,7.356622815132141,-11.703953742980957,-29.34527142706232,9d1b847c6e8db152372527b274d21c685773475e935c1e5b9b3b6be3c221d2fa,a30b901b6b199647a264a442336e59210cddd287224234334117f185e113b055
cotton-wool,104,52.54927656451051,7.322957515716553,-11.641453504562378,-29.341490128937735,738e6f29ae7159cfe7d035dd01b7b52a88b879aad978761c27fe0d0ff200f7e5,bf41eab000cfd2098248671a80edb2409d44093df347c35d76f3b6f1e7cef6d0
cotton-wool,105,52.89970884179859,7.289718985557556,-11.57986044883728,-29.337734733025627,6fe906b740a7ae5235bdd5443411d91e7eafeadc240921a3dc95724455d0e33c,7f5c2250cc82f26ae2a07dfef75ccf17b21605a6d3ebbb525fe8fcd0f7bc0fb6
cotton-wool,106,53.25175720744728,7.256901860237122,-11.519161462783813,-29.334005028971582,5d3ab9a437beec7424067625adbf114b763975818f5f08838094f1f25886421c,e4e10bd82d23d5885c953d698243e684a52d2e176127e2eccff1666737e90e50
