series,source,x,y
envelope,Septum / reconstructed MIDI,0.575,0.11629807199272017
envelope,Septum / reconstructed MIDI,0.585,0.11675094439615807
envelope,Septum / reconstructed MIDI,0.595,0.11584806821712504
envelope,Septum / reconstructed MIDI,0.605,0.11255157249150652
envelope,Septum / reconstructed MIDI,0.615,0.11405731173793936
envelope,Septum / reconstructed MIDI,0.625,0.11658165380924235
envelope,Septum / reconstructed MIDI,0.635,0.11656785174680867
envelope,Septum / reconstructed MIDI,0.645,0.11459259861056534
envelope,Septum / reconstructed MIDI,0.655,0.11349791197559968
envelope,Septum / reconstructed MIDI,0.665,0.11486870833927236
envelope,Septum / reconstructed MIDI,0.675,0.1165243123506605
envelope,Septum / reconstructed MIDI,0.685,0.11537594975122194
envelope,Septum / reconstructed MIDI,0.695,0.11349419566934917
envelope,Septum / reconstructed MIDI,0.705,0.11490709171271996
envelope,Septum / reconstructed MIDI,0.715,0.11585566832715943
envelope,Septum / reconstructed MIDI,0.725,0.11470221268094713
envelope,Septum / reconstructed MIDI,0.735,0.1123772734040309
envelope,Septum / reconstructed MIDI,0.745,0.10830938210878939
envelope,Septum / reconstructed MIDI,0.755,0.1064930986020769
envelope,Septum / reconstructed MIDI,0.765,0.09537482393976371
envelope,Septum / reconstructed MIDI,0.775,0.08446080559616348
envelope,Septum / reconstructed MIDI,0.785,0.07542194114797883
envelope,Septum / reconstructed MIDI,0.795,0.07053834290710409
envelope,Septum / reconstructed MIDI,0.805,0.0701963245694833
envelope,Septum / reconstructed MIDI,0.815,0.06840117601778081
envelope,Septum / reconstructed MIDI,0.825,0.06961714071902922
envelope,Septum / reconstructed MIDI,0.835,0.06779430971254626
envelope,Septum / reconstructed MIDI,0.845,0.06966830106238016
envelope,Septum / reconstructed MIDI,0.855,0.06831334489826121
envelope,Septum / reconstructed MIDI,0.865,0.06942617804237791
envelope,Septum / reconstructed MIDI,0.875,0.06868896324026008
envelope,Septum / reconstructed MIDI,0.885,0.06830276961488717
envelope,Septum / reconstructed MIDI,0.895,0.06933273278730784
envelope,Septum / reconstructed MIDI,0.905,0.06805973711550463
envelope,Septum / reconstructed MIDI,0.915,0.0694840128587715
envelope,Septum / reconstructed MIDI,0.925,0.0774620481988266
envelope,Septum / reconstructed MIDI,0.935,0.09389654489815036
envelope,Septum / reconstructed MIDI,0.945,0.10195569667781061
envelope,Septum / reconstructed MIDI,0.955,0.11034017438940598
envelope,Septum / reconstructed MIDI,0.965,0.11510126570979345
envelope,Septum / reconstructed MIDI,0.975,0.12087522035373846
envelope,Septum / reconstructed MIDI,0.985,0.11817580773239102
envelope,Septum / reconstructed MIDI,0.995,0.11250861921187143
envelope,Septum / reconstructed MIDI,1.005,0.11422965375256923
envelope,Septum / reconstructed MIDI,1.015,0.11655381951783747
envelope,Septum / reconstructed MIDI,1.025,0.1160184388436451
envelope,Septum / reconstructed MIDI,1.035,0.11414071564880451
envelope,Septum / reconstructed MIDI,1.045,0.11352699209002451
envelope,Septum / reconstructed MIDI,1.055,0.11502938479236363
envelope,Septum / reconstructed MIDI,1.065,0.11635938591461156
envelope,Septum / reconstructed MIDI,1.075,0.11450683275891613
envelope,Septum / reconstructed MIDI,1.085,0.11343738425120815
envelope,Septum / reconstructed MIDI,1.095,0.11503664166950696
envelope,Septum / reconstructed MIDI,1.105,0.11596694755894751
envelope,Septum / reconstructed MIDI,1.115,0.11610488730270105
envelope,Septum / reconstructed MIDI,1.125,0.11240643981595441
envelope,Septum / reconstructed MIDI,1.135,0.11360986745880523
envelope,Septum / reconstructed MIDI,1.145,0.11605631037128684
envelope,Septum / reconstructed MIDI,1.155,0.11643344979228157
envelope,Septum / reconstructed MIDI,1.165,0.11549305708088389
envelope,Septum / reconstructed MIDI,1.175,0.11214363533903117
envelope,Septum / reconstructed MIDI,1.185,0.11415407507041872
envelope,Septum / reconstructed MIDI,1.195,0.11640201052975768
envelope,Septum / reconstructed MIDI,1.205,0.11595865469297971
envelope,Septum / reconstructed MIDI,1.215,0.1141614152143144
envelope,Septum / reconstructed MIDI,1.225,0.11347106266744131
envelope,Septum / reconstructed MIDI,1.235,0.11502141908983148
envelope,Septum / reconstructed MIDI,1.245,0.11635835660952774
envelope,Septum / reconstructed MIDI,1.255,0.11447434806632532
envelope,Septum / reconstructed MIDI,1.265,0.11345430897065695
envelope,Septum / reconstructed MIDI,1.275,0.11500118494848341
envelope,Septum / reconstructed MIDI,1.285,0.11595204235737108
envelope,Septum / reconstructed MIDI,1.295,0.1143439715810892
envelope,Septum / reconstructed MIDI,1.305,0.11752571872443528
